,English,Translated,Cross-lingual,en_shuffled,trans_shuffled,xling_shuffled
EuroLLM-9B-Instruct,14.342105263157896,2.236842105263158,0.6030701754385965,3.486842105263158,0.9868421052631579,0.3399122807017544
Llama-3.1-405b,60.0,33.771929824561404,12.730263157894736,30.986842105263158,11.75438596491228,4.956140350877193
Llama-3.1-70B-Instruct-quantized.w4a16,46.973684210526315,10.657894736842104,4.078947368421052,21.644736842105264,3.837719298245614,1.8530701754385965
Llama-3.1-70B-Instruct-quantized.w8a16,40.26315789473684,7.719298245614035,1.0635964912280702,13.092105263157896,2.280701754385965,0.5921052631578947
Llama-3.1-70B-Instruct_,48.28947368421053,11.403508771929825,4.769736842105263,22.63157894736842,4.890350877192983,2.1710526315789473
Llama-3.1-8B-Instruct-quantized.w4a16,21.842105263157894,1.6228070175438596,0.7894736842105263,15.328947368421053,1.8859649122807018,0.5921052631578947
Llama-3.1-8B-Instruct-quantized.w8a16,23.223684210526315,2.5657894736842106,1.2280701754385965,16.18421052631579,2.5657894736842106,0.9758771929824561
Llama-3.1-8B-Instruct_,22.960526315789473,2.4342105263157894,1.25,16.38157894736842,2.543859649122807,0.9978070175438597
Llama-3.3-70B-Instruct,48.48684210526316,11.18421052631579,4.089912280701754,22.36842105263158,3.8596491228070176,1.6776315789473684
OLMo-2-1124-13B-Instruct,33.48684210526316,4.232456140350878,1.8092105263157894,17.30263157894737,2.8289473684210527,1.3048245614035088
OLMo-2-1124-7B-Instruct,27.56578947368421,2.8728070175438596,1.3157894736842106,17.236842105263158,2.06140350877193,0.8114035087719298
Qwen2.5-7B-Instruct-1M,17.894736842105264,2.5,0.7127192982456141,2.1052631578947367,1.1403508771929824,0.5263157894736842
gpt-4o-2024-11-20,69.24657534246575,32.146118721461185,18.618721461187214,36.3013698630137,9.931506849315069,5.536529680365297
