Title,en_results_title_match,en_results_author_match,en_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,st_results_title_match,st_results_author_match,st_results_both_match,yo_results_title_match,yo_results_author_match,yo_results_both_match,tn_results_title_match,tn_results_author_match,tn_results_both_match,ty_results_title_match,ty_results_author_match,ty_results_both_match,mai_results_title_match,mai_results_author_match,mai_results_both_match,mg_results_title_match,mg_results_author_match,mg_results_both_match
Adventures_of_Sherlock_Holmes,35.0,0.0,0.0,25.0,0.0,0.0,16.0,0.0,0.0,20.0,0.0,0.0,23.0,0.0,0.0,16.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,18.0,0.0,0.0,20.0,0.0,0.0
The_Picture_of_Dorian_Gray,89.04109589041096,89.04109589041096,89.04109589041096,65.75342465753424,67.12328767123287,65.75342465753424,76.71232876712328,76.71232876712328,76.71232876712328,75.34246575342466,76.71232876712328,75.34246575342466,47.94520547945205,49.31506849315068,47.94520547945205,38.35616438356164,38.35616438356164,38.35616438356164,24.65753424657534,24.65753424657534,24.65753424657534,28.767123287671232,28.767123287671232,28.767123287671232,42.465753424657535,42.465753424657535,42.465753424657535,50.68493150684932,50.68493150684932,50.68493150684932
Pride_and_Prejudice,82.0,98.0,82.0,74.0,74.0,74.0,48.0,56.99999999999999,48.0,79.0,80.0,79.0,60.0,62.0,60.0,43.0,48.0,43.0,26.0,26.0,26.0,26.0,26.0,26.0,63.0,68.0,63.0,56.99999999999999,60.0,56.99999999999999
Sense_and_sensibility,53.0,98.0,53.0,18.0,64.0,18.0,37.0,60.0,37.0,34.0,76.0,34.0,12.0,46.0,12.0,11.0,40.0,11.0,5.0,15.0,5.0,6.0,21.0,6.0,13.0,66.0,13.0,14.000000000000002,53.0,14.000000000000002
A_Tale_of_Two_Cities,77.0,91.0,77.0,38.0,43.0,38.0,42.0,48.0,42.0,28.999999999999996,34.0,28.999999999999996,36.0,51.0,36.0,28.000000000000004,34.0,28.000000000000004,16.0,18.0,16.0,12.0,15.0,12.0,39.0,47.0,39.0,37.0,44.0,37.0
Dracula,87.77777777777777,88.88888888888889,87.77777777777777,56.666666666666664,56.666666666666664,56.666666666666664,66.66666666666666,66.66666666666666,66.66666666666666,71.11111111111111,72.22222222222221,71.11111111111111,53.333333333333336,53.333333333333336,53.333333333333336,36.666666666666664,36.666666666666664,36.666666666666664,13.333333333333334,13.333333333333334,13.333333333333334,14.444444444444443,14.444444444444443,14.444444444444443,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
Of_Mice_and_Men,97.91666666666666,100.0,97.91666666666666,39.58333333333333,39.58333333333333,39.58333333333333,35.41666666666667,37.5,35.41666666666667,52.083333333333336,56.25,52.083333333333336,41.66666666666667,45.83333333333333,41.66666666666667,25.0,27.083333333333332,25.0,31.25,33.33333333333333,31.25,20.833333333333336,25.0,20.833333333333336,39.58333333333333,41.66666666666667,39.58333333333333,45.83333333333333,45.83333333333333,45.83333333333333
The_Boy_in_the_Striped_Pyjamas,56.70103092783505,56.70103092783505,56.70103092783505,26.804123711340207,26.804123711340207,26.804123711340207,19.587628865979383,19.587628865979383,19.587628865979383,32.98969072164948,32.98969072164948,32.98969072164948,11.34020618556701,11.34020618556701,11.34020618556701,8.24742268041237,8.24742268041237,8.24742268041237,3.0927835051546393,3.0927835051546393,3.0927835051546393,2.0618556701030926,2.0618556701030926,2.0618556701030926,5.154639175257731,5.154639175257731,5.154639175257731,8.24742268041237,8.24742268041237,8.24742268041237
Harry_Potter_and_the_Deathly_Hallows,47.0,79.0,47.0,27.0,75.0,27.0,22.0,56.99999999999999,22.0,38.0,66.0,38.0,16.0,37.0,16.0,15.0,37.0,15.0,3.0,15.0,3.0,5.0,23.0,5.0,12.0,33.0,12.0,17.0,39.0,17.0
1984,83.33333333333334,83.33333333333334,83.33333333333334,68.33333333333333,68.33333333333333,68.33333333333333,68.33333333333333,68.33333333333333,68.33333333333333,73.33333333333333,73.33333333333333,73.33333333333333,46.666666666666664,48.333333333333336,46.666666666666664,38.333333333333336,38.333333333333336,38.333333333333336,20.0,20.0,20.0,23.333333333333332,25.0,23.333333333333332,65.0,66.66666666666666,65.0,55.00000000000001,55.00000000000001,55.00000000000001
Adventures_of_Huckleberry_Finn,94.0,98.0,94.0,42.0,63.0,42.0,41.0,46.0,41.0,59.0,67.0,59.0,43.0,48.0,43.0,32.0,35.0,32.0,18.0,20.0,18.0,15.0,20.0,15.0,41.0,55.00000000000001,41.0,35.0,42.0,35.0
Frankenstein,96.07843137254902,96.07843137254902,96.07843137254902,80.3921568627451,80.3921568627451,80.3921568627451,74.50980392156863,74.50980392156863,74.50980392156863,88.23529411764706,88.23529411764706,88.23529411764706,72.54901960784314,72.54901960784314,72.54901960784314,66.66666666666666,66.66666666666666,66.66666666666666,19.607843137254903,19.607843137254903,19.607843137254903,23.52941176470588,23.52941176470588,23.52941176470588,62.745098039215684,62.745098039215684,62.745098039215684,62.745098039215684,62.745098039215684,62.745098039215684
Dune,83.0,83.0,83.0,50.0,50.0,50.0,61.0,61.0,61.0,51.0,51.0,51.0,30.0,30.0,30.0,30.0,30.0,30.0,13.0,13.0,13.0,19.0,19.0,19.0,28.000000000000004,28.000000000000004,28.000000000000004,36.0,36.0,36.0
The_Handmaid_s_Tale,93.0,94.0,93.0,39.0,39.0,39.0,64.0,66.0,64.0,61.0,61.0,61.0,31.0,31.0,31.0,14.000000000000002,14.000000000000002,14.000000000000002,6.0,6.0,6.0,1.0,1.0,1.0,51.0,51.0,51.0,36.0,36.0,36.0
Percy_Jackson_The_Lightning_Thief,67.0103092783505,74.22680412371135,67.0103092783505,27.835051546391753,39.175257731958766,27.835051546391753,21.649484536082475,31.958762886597935,21.649484536082475,8.24742268041237,45.36082474226804,8.24742268041237,27.835051546391753,28.865979381443296,27.835051546391753,19.587628865979383,21.649484536082475,19.587628865979383,8.24742268041237,10.309278350515463,8.24742268041237,5.154639175257731,6.185567010309279,5.154639175257731,22.68041237113402,24.742268041237114,22.68041237113402,18.556701030927837,21.649484536082475,18.556701030927837
A_thousand_splendid_suns,10.638297872340425,36.17021276595745,10.638297872340425,14.893617021276595,31.914893617021278,14.893617021276595,10.638297872340425,17.02127659574468,10.638297872340425,19.148936170212767,34.04255319148936,19.148936170212767,4.25531914893617,14.893617021276595,4.25531914893617,6.382978723404255,14.893617021276595,6.382978723404255,4.25531914893617,14.893617021276595,4.25531914893617,4.25531914893617,17.02127659574468,4.25531914893617,4.25531914893617,19.148936170212767,4.25531914893617,8.51063829787234,27.659574468085108,8.51063829787234
The_Great_Gatsby,94.44444444444444,94.44444444444444,94.44444444444444,85.18518518518519,85.18518518518519,85.18518518518519,70.37037037037037,70.37037037037037,70.37037037037037,79.62962962962963,79.62962962962963,79.62962962962963,70.37037037037037,70.37037037037037,70.37037037037037,53.70370370370371,53.70370370370371,53.70370370370371,40.74074074074074,40.74074074074074,40.74074074074074,44.44444444444444,46.2962962962963,44.44444444444444,72.22222222222221,72.22222222222221,72.22222222222221,74.07407407407408,74.07407407407408,74.07407407407408
Alice_in_Wonderland,93.47826086956522,100.0,93.47826086956522,80.43478260869566,80.43478260869566,80.43478260869566,80.43478260869566,80.43478260869566,80.43478260869566,93.47826086956522,95.65217391304348,93.47826086956522,71.73913043478261,71.73913043478261,71.73913043478261,84.78260869565217,84.78260869565217,84.78260869565217,34.78260869565217,36.95652173913043,34.78260869565217,54.347826086956516,54.347826086956516,54.347826086956516,86.95652173913044,86.95652173913044,86.95652173913044,86.95652173913044,91.30434782608695,86.95652173913044
