Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match
Harry_Potter_and_the_Deathly_Hallows,44.0,91.0,44.0,74.0,84.0,74.0,70.0,82.0,70.0,48.0,51.0,48.0
1984,43.333333333333336,73.33333333333333,43.333333333333336,71.66666666666667,71.66666666666667,71.66666666666667,60.0,60.0,60.0,6.666666666666667,6.666666666666667,6.666666666666667
The_Handmaid_s_Tale,39.0,40.0,39.0,12.0,12.0,12.0,12.0,12.0,12.0,15.0,15.0,15.0
Alice_in_Wonderland,100.0,100.0,100.0,84.78260869565217,82.6086956521739,82.6086956521739,82.6086956521739,84.78260869565217,82.6086956521739,76.08695652173914,76.08695652173914,76.08695652173914
A_thousand_splendid_suns,19.148936170212767,25.53191489361702,6.382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,4.25531914893617,2.127659574468085,2.127659574468085
The_Picture_of_Dorian_Gray,76.71232876712328,80.82191780821918,76.71232876712328,79.45205479452055,76.71232876712328,76.71232876712328,73.97260273972603,73.97260273972603,73.97260273972603,38.35616438356164,38.35616438356164,38.35616438356164
Percy_Jackson_The_Lightning_Thief,32.98969072164948,24.742268041237114,23.711340206185564,18.556701030927837,2.0618556701030926,0.0,8.24742268041237,3.0927835051546393,1.0309278350515463,4.123711340206185,2.0618556701030926,1.0309278350515463
The_Great_Gatsby,70.37037037037037,70.37037037037037,70.37037037037037,46.2962962962963,44.44444444444444,44.44444444444444,38.88888888888889,37.03703703703704,37.03703703703704,35.18518518518518,35.18518518518518,35.18518518518518
Of_Mice_and_Men,41.66666666666667,14.583333333333334,14.583333333333334,35.41666666666667,8.333333333333332,6.25,14.583333333333334,2.083333333333333,2.083333333333333,22.916666666666664,2.083333333333333,2.083333333333333
Pride_and_Prejudice,84.0,82.0,82.0,70.0,64.0,64.0,50.0,50.0,49.0,32.0,30.0,30.0
Dune,24.0,24.0,24.0,22.0,22.0,22.0,21.0,21.0,21.0,15.0,15.0,15.0
Adventures_of_Sherlock_Holmes,50.0,19.0,10.0,22.0,12.0,4.0,35.0,1.0,1.0,44.0,8.0,6.0
Adventures_of_Huckleberry_Finn,55.00000000000001,77.0,55.00000000000001,36.0,42.0,36.0,35.0,35.0,35.0,10.0,17.0,10.0
A_Tale_of_Two_Cities,91.0,91.0,91.0,66.0,66.0,65.0,68.0,68.0,67.0,44.0,44.0,43.0
Dracula,47.77777777777778,47.77777777777778,47.77777777777778,35.55555555555556,34.44444444444444,34.44444444444444,34.44444444444444,34.44444444444444,34.44444444444444,30.0,28.888888888888886,28.888888888888886
Sense_and_sensibility,61.0,72.0,59.0,52.0,51.0,48.0,34.0,37.0,34.0,17.0,16.0,16.0
Frankenstein,37.254901960784316,37.254901960784316,37.254901960784316,31.372549019607842,31.372549019607842,31.372549019607842,29.411764705882355,29.411764705882355,29.411764705882355,15.686274509803921,15.686274509803921,15.686274509803921
The_Boy_in_the_Striped_Pyjamas,41.0,41.0,41.0,13.0,13.0,13.0,9.0,9.0,9.0,8.0,8.0,8.0
