Title,en_results_title_match,en_results_author_match,en_results_both_match,es_results_title_match,es_results_author_match,es_results_both_match,tr_results_title_match,tr_results_author_match,tr_results_both_match,vi_results_title_match,vi_results_author_match,vi_results_both_match
Adventures_of_Huckleberry_Finn,81.0,91.0,74.0,52.0,59.0,45.0,47.0,57.99999999999999,37.0,21.0,55.00000000000001,20.0
Dracula,94.44444444444444,92.22222222222223,92.22222222222223,88.88888888888889,82.22222222222221,82.22222222222221,82.22222222222221,76.66666666666667,75.55555555555556,74.44444444444444,72.22222222222221,71.11111111111111
A_Tale_of_Two_Cities,98.0,96.0,96.0,62.0,59.0,59.0,65.0,61.0,60.0,89.0,82.0,82.0
Of_Mice_and_Men,100.0,100.0,100.0,66.66666666666666,64.58333333333334,62.5,50.0,39.58333333333333,35.41666666666667,64.58333333333334,66.66666666666666,64.58333333333334
Alice_in_Wonderland,100.0,100.0,100.0,93.47826086956522,93.47826086956522,93.47826086956522,86.95652173913044,86.95652173913044,86.95652173913044,10.869565217391305,95.65217391304348,10.869565217391305
Frankenstein,96.07843137254902,94.11764705882352,94.11764705882352,80.3921568627451,76.47058823529412,76.47058823529412,70.58823529411765,58.82352941176471,58.82352941176471,74.50980392156863,74.50980392156863,74.50980392156863
Sense_and_sensibility,94.0,96.0,92.0,52.0,51.0,48.0,48.0,43.0,39.0,32.0,75.0,28.999999999999996
The_Picture_of_Dorian_Gray,87.67123287671232,87.67123287671232,87.67123287671232,69.86301369863014,71.23287671232876,69.86301369863014,68.4931506849315,68.4931506849315,68.4931506849315,67.12328767123287,67.12328767123287,63.013698630136986
The_Boy_in_the_Striped_Pyjamas,56.00000000000001,56.00000000000001,56.00000000000001,17.0,17.0,16.0,33.0,35.0,33.0,27.0,45.0,27.0
Percy_Jackson_The_Lightning_Thief,50.51546391752577,65.97938144329896,44.329896907216494,13.402061855670103,40.20618556701031,10.309278350515463,16.49484536082474,17.525773195876287,8.24742268041237,1.0309278350515463,36.08247422680412,1.0309278350515463
Dune,86.0,84.0,84.0,60.0,56.00000000000001,56.00000000000001,45.0,45.0,45.0,65.0,64.0,64.0
The_Great_Gatsby,96.29629629629629,96.29629629629629,94.44444444444444,77.77777777777779,75.92592592592592,75.92592592592592,62.96296296296296,61.111111111111114,61.111111111111114,81.48148148148148,83.33333333333334,79.62962962962963
Pride_and_Prejudice,98.0,95.0,95.0,78.0,69.0,69.0,66.0,62.0,57.99999999999999,76.0,68.0,68.0
A_thousand_splendid_suns,68.08510638297872,80.85106382978722,68.08510638297872,19.148936170212767,29.78723404255319,17.02127659574468,4.25531914893617,6.382978723404255,4.25531914893617,14.893617021276595,72.3404255319149,10.638297872340425
Harry_Potter_and_the_Deathly_Hallows,37.0,95.0,36.0,24.0,82.0,23.0,20.0,73.0,19.0,11.0,87.0,11.0
1984,91.66666666666666,91.66666666666666,91.66666666666666,88.33333333333333,85.0,85.0,85.0,80.0,80.0,91.66666666666666,91.66666666666666,91.66666666666666
The_Handmaid_s_Tale,77.0,79.0,77.0,42.0,43.0,41.0,23.0,27.0,23.0,26.0,26.0,26.0
Adventures_of_Sherlock_Holmes,25.0,64.0,21.0,16.0,48.0,14.000000000000002,8.0,39.0,7.000000000000001,9.0,40.0,8.0
